Started at  2016-07-22 14:15:55.930817 
Rcpp  version is  0.12.6.2 
RcppArmadillo  version is  0.7.200.2.0 
R version 3.3.1 (2016-06-21) -- "Bug in Your Hair" 
  [1] "AbsFilterGSEA"        "ACEt"                 "AdaptiveSparsity"     "AHR"                  "Amelia"               "arrApply"             "ASPBay"               "aSPU"                
  [9] "BaBooN"               "BacArena"             "BayesComm"            "bayesm"               "bayou"                "bcp"                  "bfa"                  "BIFIEsurvey"         
 [17] "biglasso"             "BigVAR"               "BIPOD"                "blockmodels"          "blockseg"             "bootTimeInference"    "BTLLasso"             "bvarsv"              
 [25] "ccaPP"                "cccp"                 "cda"                  "CDM"                  "CFC"                  "ChannelAttribution"   "cIRT"                 "cladoRcpp"           
 [33] "coala"                "coneproj"             "copCAR"               "cord"                 "Countr"               "CoxPlus"              "crawl"                "Crossover"           
 [41] "DepthProc"            "dfcomb"               "dfmta"                "DiffusionRgqd"        "DiffusionRimp"        "DiffusionRjgqd"       "dina"                 "dnc"                 
 [49] "drgee"                "ECctmc"               "EloChoice"            "emIRT"                "EPGLM"                "EstHer"               "evolqg"               "FastBandChol"        
 [57] "fastM"                "FBFsearch"            "fdaMixed"             "FDRreg"               "FIACH"                "fICA"                 "FisHiCal"             "flip"                
 [65] "forecast"             "fourierin"            "fourPNO"              "FRESA.CAD"            "gaselect"             "GeneticTools"         "geoCount"             "GERGM"               
 [73] "GiRaF"                "gjam"                 "glamlasso"            "glcm"                 "glmBfp"               "glmgraph"             "GMCM"                 "Gmedian"             
 [81] "gmum.r"               "gmwm"                 "gMWT"                 "GPvam"                "gRain"                "graphicalVAR"         "gRbase"               "gRim"                
 [89] "growcurves"           "growfunctions"        "GSE"                  "hawkes"               "hkevp"                "HLMdiag"              "HSAR"                 "hsphase"             
 [97] "hypervolume"          "iBATCGH"              "icamix"               "iccbeta"              "iLaplace"             "immer"                "JAGUAR"               "jmcm"                
[105] "jmotif"               "kdecopula"            "KernelKnn"            "Langevin"             "lpme"                 "lsgl"                 "Luminescence"         "markophylo"          
[113] "markovchain"          "MAT"                  "matchingMarkets"      "matchingR"            "MatrixCorrelation"    "mcemGLM"              "mcIRT"                "mcmcse"              
[121] "MESS"                 "metafolio"            "mets"                 "mev"                  "milr"                 "minimaxdesign"        "mirt"                 "mirtCAT"             
[129] "miscF"                "MiSPU"                "MixedDataImpute"      "mixedMem"             "mixpack"              "Morpho"               "moveHMM"              "mp"                  
[137] "Mposterior"           "MRS"                  "msgl"                 "MVB"                  "mvcluster"            "mvnfast"              "netcoh"               "netdiffuseR"         
[145] "ngspatial"            "NNLM"                 "NPflow"               "oem"                  "onlinePCA"            "OpenImageR"           "PACVB"                "PanelCount"          
[153] "pcalg"                "PedCNV"               "PenCoxFrail"          "perccal"              "phylocurve"           "phylosignal"          "planar"               "polyfreqs"           
[161] "PoweR"                "PPtreeViz"            "prospectr"            "prototest"            "psd"                  "psgp"                 "PWD"                  "quadrupen"           
[169] "quanteda"             "rags2ridges"          "ragt2ridges"          "Rborist"              "RcppDE"               "RcppMLPACK"           "rcss"                 "RealVAMS"            
[177] "redist"               "regsem"               "repolr"               "resemble"             "revealedPrefs"        "Rfast"                "rflann"               "rgam"                
[185] "rmgarch"              "robustgam"            "robustHD"             "robustreg"            "roll"                 "rotations"            "Rphylopars"           "rstpm2"              
[193] "rugarch"              "Rvcg"                 "saeRobust"            "SAMM"                 "sbfc"                 "sbmSDP"               "SBSA"                 "SelvarMix"           
[201] "seqHMM"               "sgd"                  "sglOptim"             "sirt"                 "slfm"                 "smoof"                "snipEM"               "sourceR"             
[209] "SparseFactorAnalysis" "sparsereg"            "SpatialEpi"           "SpatialTools"         "SpatMCA"              "SpatPCA"              "spBayesSurv"          "spduration"          
[217] "starma"               "stm"                  "stochvol"             "stpm"                 "strum"                "survAccuracyMeasures" "surveybootstrap"      "SVMMatch"            
[225] "synlik"               "TAM"                  "TauStar"              "TED"                  "tensorBSS"            "textmineR"            "timma"                "treeclim"            
[233] "tsBSS"                "unmarked"             "VarSelLCM"            "wCorr"                "zic"                 

RESULT for AbsFilterGSEA_1.2.1.tar.gz : failure (1 of 237, 0 good, 1 bad) -- Now 14:16:05 This 3.6 sec, Avg 3.6 sec, exp. finish in 14.3 min at 14:30:23 on 22-Jul-2016
RESULT for SparseFactorAnalysis_1.0.tar.gz : success (209 of 237, 205 good, 4 bad) -- Now 16:41:50 This 27.7 sec, Avg 41.9 sec, exp. finish in 19.5 min at 17:01:22 on 22-Jul-2016

RESULT for sparsereg_1.2.tar.gz : success (210 of 237, 206 good, 4 bad) -- Now 16:42:32 This 42.6 sec, Avg 41.9 sec, exp. finish in 18.8 min at 17:01:23 on 22-Jul-2016

RESULT for SpatialEpi_1.2.2.tar.gz : success (211 of 237, 207 good, 4 bad) -- Now 16:43:12 This 40 sec, Avg 41.9 sec, exp. finish in 18.1 min at 17:01:21 on 22-Jul-2016

RESULT for SpatialTools_1.0.2.tar.gz : success (212 of 237, 208 good, 4 bad) -- Now 16:43:38 This 25.3 sec, Avg 41.8 sec, exp. finish in 17.4 min at 17:01:02 on 22-Jul-2016

RESULT for SpatMCA_1.0.0.1.tar.gz : success (213 of 237, 209 good, 4 bad) -- Now 16:44:05 This 27.6 sec, Avg 41.7 sec, exp. finish in 16.7 min at 17:00:46 on 22-Jul-2016

RESULT for SpatPCA_1.1.1.1.tar.gz : success (214 of 237, 210 good, 4 bad) -- Now 16:44:26 This 21 sec, Avg 41.6 sec, exp. finish in 16 min at 17:00:23 on 22-Jul-2016

RESULT for spBayesSurv_1.0.3.tar.gz : success (215 of 237, 211 good, 4 bad) -- Now 16:45:32 This 65.4 sec, Avg 41.7 sec, exp. finish in 15.3 min at 17:00:50 on 22-Jul-2016

RESULT for spduration_0.15.1.tar.gz : success (216 of 237, 212 good, 4 bad) -- Now 16:46:05 This 33.4 sec, Avg 41.7 sec, exp. finish in 14.6 min at 17:00:40 on 22-Jul-2016

RESULT for starma_1.3.tar.gz : success (217 of 237, 213 good, 4 bad) -- Now 16:46:29 This 24.1 sec, Avg 41.6 sec, exp. finish in 13.9 min at 17:00:21 on 22-Jul-2016

RESULT for stm_1.1.3.tar.gz : success (218 of 237, 214 good, 4 bad) -- Now 16:47:16 This 47.2 sec, Avg 41.6 sec, exp. finish in 13.2 min at 17:00:27 on 22-Jul-2016

RESULT for stochvol_1.2.3.tar.gz : success (219 of 237, 215 good, 4 bad) -- Now 16:47:48 This 31.1 sec, Avg 41.6 sec, exp. finish in 12.5 min at 17:00:16 on 22-Jul-2016

RESULT for stpm_1.3.2.tar.gz : success (220 of 237, 216 good, 4 bad) -- Now 16:48:37 This 49.1 sec, Avg 41.6 sec, exp. finish in 11.8 min at 17:00:24 on 22-Jul-2016

RESULT for strum_0.6.2.tar.gz : success (221 of 237, 217 good, 4 bad) -- Now 16:49:24 This 47 sec, Avg 41.6 sec, exp. finish in 11.1 min at 17:00:30 on 22-Jul-2016

RESULT for survAccuracyMeasures_1.2.tar.gz : success (222 of 237, 218 good, 4 bad) -- Now 16:50:05 This 41.4 sec, Avg 41.6 sec, exp. finish in 10.4 min at 17:00:30 on 22-Jul-2016

RESULT for surveybootstrap_0.0.1.tar.gz : success (223 of 237, 219 good, 4 bad) -- Now 16:50:45 This 39.8 sec, Avg 41.6 sec, exp. finish in 9.7 min at 17:00:28 on 22-Jul-2016

RESULT for SVMMatch_1.1.tar.gz : success (224 of 237, 220 good, 4 bad) -- Now 16:51:02 This 17.3 sec, Avg 41.5 sec, exp. finish in 9 min at 17:00:02 on 22-Jul-2016

RESULT for synlik_0.1.1.tar.gz : success (225 of 237, 221 good, 4 bad) -- Now 16:51:50 This 47.4 sec, Avg 41.5 sec, exp. finish in 8.3 min at 17:00:08 on 22-Jul-2016

RESULT for TAM_1.995-0.tar.gz : success (226 of 237, 222 good, 4 bad) -- Now 16:53:15 This 85.3 sec, Avg 41.7 sec, exp. finish in 7.7 min at 17:00:54 on 22-Jul-2016

RESULT for TauStar_1.1.0.tar.gz : success (227 of 237, 223 good, 4 bad) -- Now 16:54:27 This 72.3 sec, Avg 41.9 sec, exp. finish in 7 min at 17:01:26 on 22-Jul-2016

RESULT for TED_1.1.1.tar.gz : success (228 of 237, 224 good, 4 bad) -- Now 16:54:52 This 25 sec, Avg 41.8 sec, exp. finish in 6.3 min at 17:01:08 on 22-Jul-2016

RESULT for tensorBSS_0.1.tar.gz : success (229 of 237, 225 good, 4 bad) -- Now 16:55:12 This 19.4 sec, Avg 41.7 sec, exp. finish in 5.6 min at 17:00:45 on 22-Jul-2016

RESULT for textmineR_2.0.2.tar.gz : success (230 of 237, 226 good, 4 bad) -- Now 16:56:02 This 50.1 sec, Avg 41.7 sec, exp. finish in 4.9 min at 17:00:54 on 22-Jul-2016

RESULT for timma_1.2.1.tar.gz : success (231 of 237, 227 good, 4 bad) -- Now 16:56:35 This 33.1 sec, Avg 41.7 sec, exp. finish in 4.2 min at 17:00:45 on 22-Jul-2016

RESULT for treeclim_1.0.16.tar.gz : success (232 of 237, 228 good, 4 bad) -- Now 16:57:10 This 34.8 sec, Avg 41.7 sec, exp. finish in 3.5 min at 17:00:38 on 22-Jul-2016

RESULT for tsBSS_0.1.tar.gz : success (233 of 237, 229 good, 4 bad) -- Now 16:57:27 This 17.1 sec, Avg 41.6 sec, exp. finish in 2.8 min at 17:00:13 on 22-Jul-2016

RESULT for unmarked_0.11-0.tar.gz : success (234 of 237, 230 good, 4 bad) -- Now 16:58:36 This 69.8 sec, Avg 41.7 sec, exp. finish in 2.1 min at 17:00:42 on 22-Jul-2016

RESULT for VarSelLCM_1.2.tar.gz : success (235 of 237, 231 good, 4 bad) -- Now 16:59:04 This 27.1 sec, Avg 41.6 sec, exp. finish in 1.4 min at 17:00:27 on 22-Jul-2016

RESULT for wCorr_1.8.0.tar.gz : success (236 of 237, 232 good, 4 bad) -- Now 16:59:43 This 39.8 sec, Avg 41.6 sec, exp. finish in 0.7 min at 17:00:25 on 22-Jul-2016

RESULT for zic_0.9.tar.gz : success (237 of 237, 233 good, 4 bad) -- Now 17:00:03 This 19.3 sec, Avg 41.5 sec, exp. finish in 0 min at 17:00:03 on 22-Jul-2016
                     pkg res
1          AbsFilterGSEA   1
2                   ACEt   0
3       AdaptiveSparsity   0
4                    AHR   0
5                 Amelia   0
6               arrApply   0
7                 ASPBay   0
8                   aSPU   0
9                 BaBooN   0
10              BacArena   0
11             BayesComm   0
12                bayesm   0
13                 bayou   0
14                   bcp   0
15                   bfa   0
16           BIFIEsurvey   0
17              biglasso   0
18                BigVAR   0
19                 BIPOD   0
20           blockmodels   0
21              blockseg   0
22     bootTimeInference   0
23              BTLLasso   0
24                bvarsv   0
25                 ccaPP   0
26                  cccp   0
27                   cda   0
28                   CDM   0
29                   CFC   0
30    ChannelAttribution   0
31                  cIRT   0
32             cladoRcpp   0
33                 coala   0
34              coneproj   0
35                copCAR   0
36                  cord   0
37                Countr   0
38               CoxPlus   0
39                 crawl   0
40             Crossover   0
41             DepthProc   0
42                dfcomb   0
43                 dfmta   0
44         DiffusionRgqd   0
45         DiffusionRimp   0
46        DiffusionRjgqd   0
47                  dina   0
48                   dnc   0
49                 drgee   0
50                ECctmc   0
51             EloChoice   0
52                 emIRT   0
53                 EPGLM   0
54                EstHer   0
55                evolqg   1
56          FastBandChol   0
57                 fastM   0
58             FBFsearch   0
59              fdaMixed   0
60                FDRreg   0
61                 FIACH   0
62                  fICA   0
63              FisHiCal   0
64                  flip   0
65              forecast   0
66             fourierin   0
67               fourPNO   0
68             FRESA.CAD   0
69              gaselect   0
70          GeneticTools   0
71              geoCount   0
72                 GERGM   0
73                 GiRaF   0
74                  gjam   0
75             glamlasso   0
76                  glcm   0
77                glmBfp   0
78              glmgraph   0
79                  GMCM   0
80               Gmedian   0
81                gmum.r   0
82                  gmwm   0
83                  gMWT   0
84                 GPvam   0
85                 gRain   0
86          graphicalVAR   0
87                gRbase   0
88                  gRim   0
89            growcurves   0
90         growfunctions   0
91                   GSE   0
92                hawkes   0
93                 hkevp   0
94               HLMdiag   0
95                  HSAR   0
96               hsphase   0
97           hypervolume   0
98               iBATCGH   0
99                icamix   0
100              iccbeta   0
101             iLaplace   0
102                immer   0
103               JAGUAR   0
104                 jmcm   0
105               jmotif   0
106            kdecopula   0
107            KernelKnn   0
108             Langevin   0
109                 lpme   0
110                 lsgl   0
111         Luminescence   0
112           markophylo   0
113          markovchain   0
114                  MAT   0
115      matchingMarkets   0
116            matchingR   0
117    MatrixCorrelation   0
118              mcemGLM   0
119                mcIRT   0
120               mcmcse   0
121                 MESS   0
122            metafolio   0
123                 mets   0
124                  mev   0
125                 milr   0
126        minimaxdesign   0
127                 mirt   0
128              mirtCAT   0
129                miscF   0
130                MiSPU   0
131      MixedDataImpute   0
132             mixedMem   0
133              mixpack   0
134               Morpho   0
135              moveHMM   0
136                   mp   0
137           Mposterior   0
138                  MRS   0
139                 msgl   0
140                  MVB   0
141            mvcluster   0
142              mvnfast   0
143               netcoh   0
144          netdiffuseR   0
145            ngspatial   0
146                 NNLM   0
147               NPflow   0
148                  oem   0
149            onlinePCA   0
150           OpenImageR   0
151                PACVB   0
152           PanelCount   0
153                pcalg   0
154               PedCNV   0
155          PenCoxFrail   0
156              perccal   0
157           phylocurve   1
158          phylosignal   0
159               planar   0
160            polyfreqs   0
161                PoweR   0
162            PPtreeViz   0
163            prospectr   0
164            prototest   0
165                  psd   0
166                 psgp   0
167                  PWD   0
168            quadrupen   0
169             quanteda   0
170          rags2ridges   0
171          ragt2ridges   0
172              Rborist   0
173               RcppDE   0
174           RcppMLPACK   0
175                 rcss   0
176             RealVAMS   0
177               redist   0
178               regsem   0
179               repolr   0
180             resemble   0
181        revealedPrefs   0
182                Rfast   0
183               rflann   0
184                 rgam   0
185              rmgarch   0
186            robustgam   0
187             robustHD   0
188            robustreg   0
189                 roll   0
190            rotations   0
191           Rphylopars   0
192               rstpm2   0
193              rugarch   0
194                 Rvcg   0
195            saeRobust   0
196                 SAMM   0
197                 sbfc   0
198               sbmSDP   0
199                 SBSA   0
200            SelvarMix   0
201               seqHMM   0
202                  sgd   0
203             sglOptim   0
204                 sirt   0
205                 slfm   0
206                smoof   1
207               snipEM   0
208              sourceR   0
209 SparseFactorAnalysis   0
210            sparsereg   0
211           SpatialEpi   0
212         SpatialTools   0
213              SpatMCA   0
214              SpatPCA   0
215          spBayesSurv   0
216           spduration   0
217               starma   0
218                  stm   0
219             stochvol   0
220                 stpm   0
221                strum   0
222 survAccuracyMeasures   0
223      surveybootstrap   0
224             SVMMatch   0
225               synlik   0
226                  TAM   0
227              TauStar   0
228                  TED   0
229            tensorBSS   0
230            textmineR   0
231                timma   0
232             treeclim   0
233                tsBSS   0
234             unmarked   0
235            VarSelLCM   0
236                wCorr   0
237                  zic   0

  0   1 
233   4 
[1] "AbsFilterGSEA" "evolqg"        "phylocurve"    "smoof"        
Ended at  2016-07-22 17:00:03.218226 
